date,TLT,IEI,SHY,TBF,BIL,VCLT,VCIT,HYG,LQD,VCSH,VNQ,GLD,PFF,TIP,MBB
2007-05-31,-0.001848856020337541,-0.000900900900900935,-0.0006240639041439262,6.487410607296393e-5,0.0,0.00046976317372734376,-0.010831190647919918,-0.001605591235360802,-0.0008488964346348727,-0.0007528002810835773,-0.004036836129683275,0.01266996291718182,0.0013924806047344396,0.0006025911419102368,-0.0011983223487118488
2007-06-01,-0.009145635563787823,-0.00691313495641717,-0.004121393780442092,0.006388605841338197,0.0002183406113538235,-0.005867763926372368,0.0,-0.005675905779963999,-0.00849617672047584,-0.001609857368642414,0.0013932868904369781,0.013732072017088669,-0.008740564163687025,-0.007828967178560686,-0.0066986602679464284
2007-06-04,0.004556607080266392,0.001311541565778808,0.000376222723852535,-0.00595148931266922,0.0002182929491376994,0.004775687497976173,0.0,0.000856245837693877,0.001618585166143023,0.0009231437959644855,0.00404755881608896,0.0015051173991572626,-0.0012024048096191417,0.002630247850278251,0.0006039255158530677
2007-06-05,-0.006280530355896792,-0.002115869017632179,-0.0008775228782749553,0.006093824275642363,0.0,-0.005132449425001611,0.0,-0.0014258555133080388,-0.0032319391634981313,-0.001116496922825549,-0.015873015873015758,-0.0025548542230237705,-0.0030096308186196965,-0.003632327716678432,-0.001508902524896806
2007-06-06,-0.0004681647940073975,0.0016155088852988345,0.0012547051442910202,0.0016922228816962236,0.000436490615451836,-0.0024443780222359697,0.0,-0.0012375059495477912,0.0008582872401297293,0.00075401147015731,-0.006784434203789057,0.0006026819346088902,-0.0028174683034815975,0.0008101265822784637,-0.0007052186177715835
2007-06-07,-0.017915690866510552,-0.004536290322580674,-0.0011278195488722232,0.015777240752997683,-0.0002181500872601465,-0.01442892156862735,0.0,-0.004670224933282452,-0.010671748451643683,-0.0025148233350944203,-0.031447351462817345,-0.01731666917632874,-0.008879919273461104,-0.008701811190933922,-0.0060489968746848905
2007-06-08,-0.0008346250149041061,0.0,0.0003763643206624155,0.002682118169591192,0.00021819768710462832,-0.002754822649354879,0.0,-0.002681221871109845,0.0004815563902532713,-0.00025010403034013396,0.011976047904191503,-0.015936254980079775,0.0016289961311341538,0.0018372971317751029,0.002434323967948016
2007-06-11,-0.0028639618138424213,0.00020253164556957996,0.00012540757461757107,0.0011094471581686671,0.00043630017451998297,-0.0018029689137485977,0.0,-0.002112337974075841,-0.0030804774740084057,0.0004564821544232745,-0.014990138067061152,0.007474307069448832,-0.00101646676153684,-0.0021395822720326843,-0.0035414347870079362
2007-06-12,-0.014480612733365341,-0.00425230333097096,-0.0008777429467083784,0.014686085895156646,-0.0008722197993894275,-0.012509298126509373,0.0,-0.005099586259982691,-0.005378524526844362,-0.00240208434527942,-0.01735415832332128,-0.009273570324575093,-0.007326007326007315,-0.006228303042679186,-0.006194151096669369
2007-06-13,0.011900425015179163,0.0016268429079818079,0.0002510040160642071,-0.010543422410050358,0.000872981230903517,0.00890898741382568,0.0,0.0017408123791101799,0.004339679426812838,0.0003464506811969845,0.02214373047140328,0.006708268330733336,0.004735547355473589,0.003698756806739951,0.0027587616225604986
2007-06-14,-0.0025201008040320865,-0.0004060501471932418,0.0,0.0025423327972755217,0.0004361098996947912,-0.0012895047975595255,0.0,0.0007723498744931289,-0.0002899951667472319,-0.00016776518058882046,-0.010765550239234293,0.0010847667751432385,0.003652241333578073,0.0006141877367182134,-0.00010189525168132378
2007-06-15,0.006857555341674605,0.0029450594089571063,0.0013801756587201936,-0.004795324410512948,0.0008718395815169823,0.005766639110831406,0.0,-0.0001929384526335715,0.003959582285824736,0.001694496594803557,0.01101706301222616,0.0038699690402476785,0.009758080910754299,0.0029667519181586317,0.003057169061449214
2007-06-18,-0.0020313060102760392,0.000707776427703421,0.0,-0.0018936377311742202,0.00021777003484316223,0.001904742884674518,0.0,0.0005789270551910679,-9.149615475373308e-5,0.0014500713892360896,-0.015415282392026533,0.001542020046260733,0.0008053150795248469,-0.0008159934720523511,0.0011165295133597085
2007-06-19,0.00933908045977013,0.002732978582392569,0.0017541661445934164,-0.0068203050786248024,0.0,0.005737625267228421,0.0,0.0012536162005785483,0.006453477172028528,0.0018026063491082063,0.001889593737346478,0.008160123171670534,0.000804667069000184,0.005308289097590958,0.00446621114898636
2007-06-20,-0.008066429418742499,-0.0014127144298688252,-0.0010006253908692718,0.004908544727602978,0.0002177226213803181,-0.004396811800475571,0.0,-0.008859674467880174,-0.004785146904009953,-0.0009222540548363571,-0.03004176209079892,-0.01175931582162508,-0.0046231155778893845,-0.0037571080422421255,-0.0027278238027885456
2007-06-21,-0.004783544606553524,-0.0007073565076798018,0.00037561036684613915,0.0059298874555552585,0.0,-0.00733943812675741,0.0,0.001845299926829285,-0.002596403500336533,-0.0005106845683603983,0.005554166666666699,-0.0023180343069076105,-0.003432956381260131,-0.00040770563653048876,-0.0024313646033835975
2007-06-22,0.006488824801730428,0.0021235716452623495,0.0013767209011264008,-0.003561026174626292,0.0008707009142359415,0.0029717700644614417,0.0,0.0019398642095053624,0.002699575780948719,0.0012228246244155936,-0.0037279057015273073,0.0034076827757124977,0.0014184397163120625,0.004078719282145465,0.0008124301817812358
2007-06-25,0.005491881566380059,0.0013118062563068583,0.0008748906386700809,-0.00827303164488596,-0.000434971726837669,0.0065513888819464,0.0,-0.005808325266214854,0.0011538461538461975,0.001996847761502001,-0.028559545265492894,-0.0054029021302870375,-0.001618777822743794,0.0023357367726211434,0.0025367833587011668
